tScaled  A  B  C  D
0.127  0.9998948820688488  0.010252807297841728  0.010252807297841728  0.00010511793115128286
0.128  0.9998899173216533  0.010491569897430773  0.010491569897430773  0.00011008267834670919
0.129  0.9998848381208014  0.010733985518052502  0.010733985518052502  0.00011516187919868832
0.13  0.9998796480198412  0.010980084480880751  0.010980084480880751  0.00012035198015890944
0.131  0.9998743354293517  0.011229880383703298  0.011229880383703298  0.00012566457064845616
0.132  0.9998688887599116  0.011483386824307907  0.011483386824307907  0.00013111124008841212
0.133  0.9998632964221003  0.011740617400482363  0.011740617400482363  0.00013670357789986084
0.134  0.9998575468264962  0.012001585710014426  0.012001585710014426  0.000142453173503886
0.135  0.9998516283836786  0.012266305350691878  0.012266305350691878  0.00014837161632157112
0.136  0.999845529504226  0.012534789920302486  0.012534789920302486  0.00015447049577399985
0.137  0.9998392385987178  0.012807053016634026  0.012807053016634026  0.0001607614012822557
0.138  0.9998327440777327  0.01308310823747427  0.01308310823747427  0.00016725592226742248
0.139  0.9998260343518496  0.013362969180610989  0.013362969180610989  0.0001739656481505834
0.14  0.9998190978316472  0.013646649443831956  0.013646649443831956  0.0001809021683528225
0.141  0.9998119229277048  0.013934162624924945  0.013934162624924945  0.0001880770722952232
0.142  0.9998044980506012  0.014225522321677729  0.014225522321677729  0.00019550194939886887
0.143  0.9997968116109153  0.014520742131878076  0.014520742131878076  0.00020318838908484345
0.144  0.999788852019226  0.014819835653313764  0.014819835653313764  0.0002111479807742303
0.145  0.9997806076861121  0.015122816483772566  0.015122816483772566  0.0002193923138881132
0.146  0.9997720670221524  0.015429698221042247  0.015429698221042247  0.00022793297784757572
0.147  0.9997632184379264  0.01574049446291059  0.01574049446291059  0.0002367815620737012
0.148  0.9997540503440125  0.01605521880716536  0.01605521880716536  0.0002459496559875735
0.149  0.9997445511509899  0.016373884851594328  0.016373884851594328  0.0002554488490102761
0.15  0.9997347092694372  0.01669650619398528  0.01669650619398528  0.0002652907305628928
0.151  0.9997245131099337  0.01702309643212597  0.01702309643212597  0.00027548689006650696
0.152  0.9997139510830579  0.017353669163804184  0.017353669163804184  0.00028604891694220214
0.153  0.999703011599389  0.01768823798680769  0.01768823798680769  0.00029698840061106226
0.154  0.999691683069506  0.01802681649892426  0.01802681649892426  0.0003083169304941704
0.155  0.9996799539039876  0.01836941829794167  0.01836941829794167  0.00032004609601261083
